sys_id,sys_code,main_id,ids,otype_txt,otype_shortname,otype_longname,otypes,Average of ra,Average of dec,Average of dist
1,SOL,SOL,The Sun|Sun|Solar System,,,,,,,
2,ALCENT,V* V645 Cen                 ,PM J14297-6240|PLX 3278|* alf Cen C|2E 1426.0-6227|2E  3278|2RE J142946-624031|2RE J1429-624|CCDM J14396-6050C|CSI-62-14263|CSV   2142|Ci 20  861|GEN# +6.10010551|GEN# +6.00105721|GJ   551|HIC  70890|HIP  70890|IRAS 14260-6227|JP11  5156|JP11  5155|JP11  5187|LFT 1110|LHS    49|LPM 526|LTT  5721|NAME Proxima Cen|NAME Proxima|NAME Proxima Centauri|NLTT 37460|PM 14263-6228|RE J1429-624|RE J142950-624056|V* V645 Cen|Zkh 211|[AOP94]  6|[FS2003] 0708|[GKL99] 301|[RHG95]  2291|2MASS J14294291-6240465|PLX 3278.00|1E 1425.9-6228|1ES 1426-62.4|1RXS J142947.9-624058|2EUVE J1429-62.6|EUVE J1429-62.6|EUVE J1430-62.6|RX J1429.7-6240|WDS J14396-6050C|PMSC 14328-6025C|Gaia DR2 5853498713160606720|WISEA J142937.35-624038.3|GALEX 6387417244251458613                                                                                                                                                                                                                                                                                                          ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |** |IR |UV |X  |PM*|*  |Fl*|PM*|PM*|*  |UV                                     ,217.428938,-62.67949189,1.3012
3,BARNST,NAME Barnard's star         ,Karmn J17578+046|PLX 4098|LSPM J1757+0441|ASCC 1153178|UCAC2  33428712|2MASS J17574849+0441405|USNO-B1.0 0946-00315199|8pc 549.01|AC2000  146626|BD+04  3561a|CCDM J17578+0441A|CSI+04-17554|CSV   7737|Ci 20 1069|G 140-24|GAT   12|GCRV 10392|GJ   699|GSC 00425-00184|GSC 00425-02502|HIC  87937|HIP  87937|IRAS 17553+0438|JP11    18|LFT 1385|LHS    57|LTT 15309|MCC 799|NLTT 45718|NSV  9910|TYC  425-2502-1|UBV   15269|USNO 347|USNO 876|V* V2500 Oph|VVO   6|Zkh 269|[RHG95]  2849|WISEA J175747.94+044323.8|PLX 4098.00|1E 1755.3+0438|NAME Barnard's star|NAME Barnard Star|UCAC4 474-068224|StKM 2-1355|PM J17578+0441N|GEN# +0.00403561|uvby98 000403561|WEB 14849|Gaia DR2 4472832130942575872                                                                                                                                                                                                                                                                                                                                                                   ,BY*    ,BY*          ,Variable of BY Dra type        ,PM*|V* |** |IR |X  |BY*|*  |PM*|PM*|*                                                  ,269.4520825,4.693364265,1.8233
4,W00359,Wolf  359                   ,Karmn J10564+070|FBS 1054+073|EPIC 201885041|PM J10564+0700|PLX 2553|2RE J1056+070|LSPM J1056+0700|NLTT 25782|1AXG J105630+0701|2E  2358|2MASS J10562886+0700527|2RE J105629+070051|8pc 419.10|CSI+07-10541|CSV   6806|Ci 20  600|EUVE J1056+07.0|G  45-20|GCRV  6780|GEN# +6.10010406|GJ   406|GSC 00261-00377|JP11  5139|JP11  5138|JP11  5140|JP11  5141|LFT  750|LHS    36|LTT 12923|PM 10541+0719|RBS   922|RE J1056+070|RE J105630+070040|UBV   10028|USNO 836|USNO 612|V* CN Leo|Wolf  359|Zkh 147|[GKL99] 228|[RHG95]  1702|USNO-B1.0 0970-00229948|PLX 2553.00|1E 1053.9+0718|1ES 1053+07.2|1RXS J105630.3+070118|2E 1053.9+0718|ASAS J105629+0700.8|RX J1056.5+0701|[ZEH2003] RX J1056.5+0701  1|WISEA J105626.19+070025.0|UCAC4 486-052878|StKM 2-681|2XMMi J105627.2+070036|WEB  9714                                                                                                                                                                                                                                                                               ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |IR |UV |*  |X  |PM*|*  |Fl*|PM*|*  |Fl*                                        ,164.1201092,7.01454,2
5,H95735,HD  95735                   ,Karmn J11033+359|PLX 2576|LSPM J1103+3558|ASCC  492123|2MASS J11032027+3558203|USNO-B1.0 1259-00190202|8pc 392.40|AC2000 1340883|AG+36 1043|AGKR  9911|BD+36  2147|CCDM J11033+3558A|Ci 20  604|DO 14335|G 147-17|G 119-52|GAT   62|GAT  962|GC 15183|GCRV  6818|GEN# +1.00095735|GJ   411|GSC 02521-02279|HD  95735|HIC  54035|HIP  54035|IRAS 11005+3615|JP11  2024|LAL 21185|LFT  756|LHS    37|LTT 12960|MCC 594|NLTT 26105|PM 11006+3617|PPM  75640|RAFGL  411|ROT  1651|SAO  62377|SKY# 21113|TYC 2521-2279-1|UBV   10094|UBV M  16736|USNO 837|Zkh 149|[GKL99] 233|[RHG95]  1719|uvby98 100095735|2MASS J11032023+3558117|PLX 2576.00|XBS J110320.1+355803|WISEA J110319.67+355722.4|UCAC4 630-046224|StKM 2-691|PM J11033+3558|WEB  9772                                                                                                                                                                                                                                                                                                                                ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|** |IR |*  |PM*|*  |X  |PM*|PM*|Ro*|*  |X                                          ,165.8341417,35.96988004,2.548
6,G27261,G 272-61B                   ,8pc 373.70B|CSI-18-01364  2|CSI-18-01364  1|G 272-61B|GJ    65 B|IDS 01340-1828 B|L  726-8 B|LFT  145|LHS    10|LP  768-26|LTT   893|NLTT  5504|V* UV Cet|Zkh  28|[GKL99]  45|[RHG95]   302|CCDM J01390-1756B|WDS J01388-1758B|** LDS  838B|Gaia DR2 5140693571158739712|WEB  1642                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|Fl*|PM*|IR |** |V* |*                                                              ,24.75680586,-17.95031163,2.6869
7,G27261,G 272-61A                   ,8pc 373.70A|G 272-61A|GJ    65 A|IDS 01340-1828 A|L  726-8 A|LFT  144|LHS     9|LP  768-27|LTT   892|NLTT  5505|V* BL Cet|[GKL99]  44|[RHG95]   301|CCDM J01390-1756A|WDS J01388-1758A|** LDS  838A|Gaia DR2 5140693571158739840|Zkh  27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |Fl*|** |*  |PM*                                                                ,24.75573557,-17.95066647,2.7032
8,SIRIUS,* alf CMa B                 ,2RXF J064508.6-164240|* alf CMa B|2E  1730|2RE J064509-164243|2RE J0645-164|8pc 379.21B|ADS  5423 B|BD-16  1591B|CCDM J06451-1643BC|CSI-16  1591  3|EGGR  49|GEN# +1.00048915B|GJ   244 B|H 0643-16|HD  48915B|IDS 06408-1635 B|RE J0645-16|RE J0645-164|RE J064509-164243|UBV    6710|WD 0642-163|WD 0643-16|WD 0642-16|WD 0642-166|Zkh  92|[BM83] X0642-166|1E 064255-1639.3|1ES 0642-16.6|2E 0642.9-1638|2EUVE J0645-16.7|EUVE J0645-16.7|WDS J06451-1643BC|** AGC    1BC|Gaia DR2 2947050466531873024|NAME Sirius C|NAME Sirius B|1RXS J064509.3-164241|1E 064255-1639.4|RX J0645.1-1642|NAME Sirius BC                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,WD*    ,WD*          ,White Dwarf                    ,WD*|UV |X  |*  |**                                                                     ,101.288759,-16.71686578,2.761566667
9,W00424,Wolf  424                   ,Karmn J12332+090|PLX 2890|Cl* Melotte   25    EGG      43|LSPM J1233+0901|NLTT 31083|2MASS J12331738+0901157|USNO-B1.0 0990-00217846|2E  2769|CSI+09-12309  1|Ci 20  716|G  12-43|G  60-14|GCRV  7553|GJ   473|GSC 00874-00306|IRAS F12307+0917|JP11  5149|JP11  5148|LFT  923|LHS   333|LTT 13546|PM 12308+0918|UBV   11279|V* FL Vir|VVO  74|Wolf  424|[GKL99] 264|[GKL99] 265|** REU    1|2E 1230.7+0918|WDS J12335+0901AB|Zkh 179|[RHG95]  1972|1RXS J123319.0+090110|CSI+09-12309  2|RBS  1128|Zkh 180|[FS2003] 0637|[RHG95]  1973|RX J1233.3+0901|WISEA J123316.13+090118.0|UCAC4 496-058936|StKM 2-849|PM J12332+0901|IDS 12309+0918 AB|PLX 2890.00|WEB 10904                                                                                                                                                                                                                                                                                                                                                                                                            ,**     ,**           ,Double or multiple star        ,Fl*|V* |IR |X  |PM*|*iC|Fl*|PM*|PM*|*  |** |*                                          ,188.3223395,9.0210534,3
10,R00248,Ross  248                   ,Karmn J23419+441|[FS2003] 1203|1RXS J234155.0+441047|PLX 5736|LSPM J2341+4410|ASCC  451737|2MASS J23415498+4410407|8pc 316.00|CSI+43-23394|CSI+43-23394  1|CSV   5777|Ci 20 1445|G 171-10|G 190-42|GCRV 14848|GEN# +6.10010905|GEN# +9.80171010|GJ   905|IRAS 23394+4354|JP11  5182|LFT 1816|LHS   549|LTT 16985|NLTT 57692|RAFGL  905|Ross  248|UBV M  42997|USNO 275|USNO 908|V* HH And|Zkh 353|[GKL99] 454|[RHG95]  3743|USNO-B1.0 1341-00523884|PLX 5736.00|GAT 1360|Gaia DR2 1926461164913660160|PM 23394+4355|WISEA J234155.15+441022.1|PM J23419+4410|WEB 20625                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,BY*    ,PSRJ1544+4937,Variable of BY Dra type        ,PM*|V* |IR |*  |Fl*|X  |BY*|PM*|PM*|*                                                  ,355.4793172,44.17745144,3.0775
